TITLE SAMPLE NAME:,Polyethylene High Density  (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
802.2422,96.4835
803.2065,96.4592
804.1707,96.4333
805.1349,96.4104
806.0992,96.3957
807.0634,96.3947
808.0276,96.4111
808.9919,96.4457
809.9561,96.4959
810.9203,96.5567
811.8846,96.623
812.8488,96.6906
813.8130,96.7575
814.7773,96.8231
815.7415,96.8869
816.7057,96.9479
817.6700,97.0039
818.6342,97.0536
819.5984,97.0975
820.5627,97.1388
821.5269,97.1818
822.4911,97.2308
823.4554,97.288
824.4196,97.3525
825.3839,97.4209
826.3481,97.4888
827.3123,97.5525
828.2766,97.6099
829.2408,97.6611
830.2050,97.7074
831.1693,97.7514
832.1335,97.7953
833.0977,97.8415
834.0620,97.8914
835.0262,97.9453
835.9904,98.0016
836.9547,98.0569
837.9189,98.107
838.8831,98.1484
839.8474,98.1798
840.8116,98.2027
841.7758,98.2203
842.7401,98.236
843.7043,98.2516
844.6685,98.2675
845.6328,98.2833
846.5970,98.2989
847.5612,98.3147
848.5255,98.3316
849.4897,98.3493
850.4539,98.3667
851.4182,98.3823
852.3824,98.3946
853.3466,98.4035
854.3109,98.4095
855.2751,98.4136
856.2393,98.4166
857.2036,98.4192
858.1678,98.4223
859.1320,98.427
860.0963,98.4342
861.0605,98.4445
862.0247,98.4571
862.9890,98.4706
863.9532,98.4832
864.9174,98.4937
865.8817,98.5015
866.8459,98.5071
867.8101,98.5112
868.7744,98.5147
869.7386,98.518
870.7028,98.5208
871.6671,98.5223
872.6313,98.5218
873.5955,98.5195
874.5598,98.5171
875.5240,98.5174
876.4882,98.5236
877.4525,98.5375
878.4167,98.5593
879.3809,98.5871
880.3452,98.6173
881.3094,98.6461
882.2736,98.6702
883.2379,98.6872
884.2021,98.6959
885.1663,98.6961
886.1306,98.6894
887.0948,98.6788
888.0590,98.6683
889.0233,98.6624
889.9875,98.6637
890.9517,98.6723
891.9160,98.6853
892.8802,98.6974
893.8444,98.7036
894.8087,98.7003
895.7729,98.6871
896.7371,98.6659
897.7014,98.6395
898.6656,98.6096
899.6298,98.5753
900.5941,98.5329
901.5583,98.4765
902.5225,98.4002
903.4868,98.3011
904.4510,98.1826
905.4152,98.0568
906.3795,97.943
907.3437,97.8632
908.3079,97.8348
909.2722,97.8645
910.2364,97.9454
911.2007,98.0593
912.1649,98.1841
913.1292,98.2999
914.0934,98.3947
915.0576,98.4645
916.0219,98.5114
916.9861,98.5407
917.9503,98.5582
918.9146,98.5697
919.8788,98.5795
920.8430,98.5903
921.8073,98.6024
922.7715,98.6143
923.7357,98.6236
924.7000,98.6292
925.6642,98.632
926.6284,98.6347
927.5927,98.6403
928.5569,98.6502
929.5211,98.6632
930.4854,98.6767
931.4496,98.6879
932.4138,98.6961
933.3781,98.7032
934.3423,98.7121
935.3065,98.7258
