TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
1828.1866,104.544
1830.1151,104.622
1832.0436,104.77
1833.9720,104.919
1835.9005,105.008
1837.8290,105.005
1839.7574,104.917
1841.6859,104.791
1843.6144,104.698
1845.5428,104.695
1847.4713,104.791
1849.3998,104.947
1851.3282,105.106
1853.2567,105.221
1855.1852,105.271
1857.1136,105.254
1859.0421,105.179
1860.9706,105.059
1862.8990,104.911
1864.8275,104.767
1866.7560,104.671
1868.6844,104.667
1870.6129,104.768
1872.5414,104.943
1874.4698,105.134
1876.3983,105.286
1878.3268,105.369
1880.2552,105.383
1882.1837,105.348
1884.1122,105.291
1886.0406,105.233
1887.9691,105.19
1889.8976,105.171
1891.8260,105.184
1893.7545,105.227
1895.6830,105.292
1897.6115,105.361
1899.5399,105.416
1901.4684,105.446
1903.3969,105.449
1905.3253,105.438
1907.2538,105.426
1909.1823,105.422
1911.1107,105.426
1913.0392,105.429
1914.9677,105.425
1916.8961,105.415
1918.8246,105.414
1920.7531,105.438
1922.6815,105.496
1924.6100,105.584
1926.5385,105.685
1928.4669,105.779
1930.3954,105.851
1932.3239,105.893
1934.2523,105.904
1936.1808,105.885
1938.1093,105.844
1940.0377,105.797
1941.9662,105.768
1943.8947,105.781
1945.8231,105.845
1947.7516,105.947
1949.6801,106.063
1951.6085,106.167
1953.5370,106.251
1955.4655,106.316
1957.3939,106.368
1959.3224,106.408
1961.2509,106.434
1963.1793,106.448
1965.1078,106.468
1967.0363,106.516
1968.9647,106.602
1970.8932,106.703
1972.8217,106.77
1974.7501,106.755
1976.6786,106.648
1978.6071,106.485
1980.5355,106.325
1982.4640,106.203
1984.3925,106.121
1986.3209,106.06
1988.2494,106.003
1990.1779,105.952
1992.1063,105.925
1994.0348,105.945
1995.9633,106.019
1997.8917,106.13
1999.8202,106.249
2001.7487,106.34
2003.6771,106.381
2005.6056,106.369
2007.5341,106.325
2009.4625,106.278
2011.3910,106.251
2013.3195,106.25
2015.2479,106.268
2017.1764,106.294
2019.1049,106.323
