TITLE SAMPLE NAME:,Polypropylene (medicine containers-plastics caps-containers-makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
593.9678,97.9612
595.8963,97.9547
597.8248,97.9688
599.7532,97.9983
601.6817,98.0383
603.6102,98.0823
605.5386,98.1178
607.4671,98.1273
609.3956,98.0955
611.3240,98.0215
613.2525,97.9252
615.1810,97.843
617.1094,97.8105
619.0379,97.8433
620.9664,97.9266
622.8948,98.0219
624.8233,98.0855
626.7518,98.0874
628.6802,98.0207
630.6087,97.8992
632.5372,97.7463
634.4656,97.5811
636.3941,97.4106
638.3226,97.2307
640.2510,97.0345
642.1795,96.8211
644.1080,96.5985
646.0364,96.3829
647.9649,96.1957
649.8934,96.0646
651.8218,96.0195
653.7503,96.0767
655.6788,96.2174
657.6072,96.379
659.5357,96.4727
661.4642,96.4144
663.3926,96.1583
665.3211,95.7363
667.2496,95.2871
669.1780,95.0105
671.1065,95.0235
673.0350,95.2684
674.9634,95.588
676.8919,95.8501
678.8204,96.0003
680.7488,96.0561
682.6773,96.0755
684.6058,96.1166
686.5342,96.2058
688.4627,96.335
690.3912,96.4835
692.3196,96.6396
694.2481,96.8055
696.1766,96.9895
698.1050,97.1967
700.0335,97.4258
701.9620,97.6716
703.8904,97.9266
705.8189,98.1776
707.7474,98.4023
709.6758,98.5711
711.6043,98.6578
713.5328,98.6555
715.4612,98.5871
717.3897,98.5029
719.3182,98.4609
721.2466,98.4993
723.1751,98.6181
725.1036,98.7829
727.0320,98.9472
728.9605,99.0771
730.8890,99.1629
732.8174,99.2152
734.7459,99.2518
736.6744,99.2862
738.6028,99.3235
740.5313,99.3626
742.4598,99.4018
744.3882,99.4402
746.3167,99.4775
748.2452,99.5122
750.1736,99.5425
752.1021,99.5682
754.0306,99.5917
755.9590,99.6169
757.8875,99.6462
759.8160,99.6795
761.7444,99.7141
763.6729,99.747
765.6014,99.7769
767.5298,99.8038
769.4583,99.8281
771.3868,99.85
773.3152,99.8691
775.2437,99.885
777.1722,99.8982
779.1006,99.9094
781.0291,99.9184
782.9576,99.9237
784.8860,99.9233
786.8145,99.916
788.7430,99.9028
790.6714,99.8871
792.5999,99.8716
