TITLE SAMPLE NAME:,Polypropylene (medicine containers-plastics caps-containers-makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
2057.6743,96.6402
2059.6028,96.7368
2061.5313,96.8191
2063.4597,96.8994
2065.3882,96.9826
2067.3167,97.066
2069.2451,97.1431
2071.1736,97.2099
2073.1021,97.2671
2075.0305,97.3196
2076.9590,97.3733
2078.8875,97.4312
2080.8159,97.4933
2082.7444,97.5564
2084.6729,97.6162
2086.6013,97.6684
2088.5298,97.7096
2090.4583,97.7377
2092.3867,97.7531
2094.3152,97.7591
2096.2437,97.7615
2098.1721,97.7664
2100.1006,97.7764
2102.0291,97.7898
2103.9575,97.8018
2105.8860,97.8082
2107.8145,97.8089
2109.7429,97.8091
2111.6714,97.8162
2113.5999,97.8349
2115.5283,97.8637
2117.4568,97.8943
2119.3853,97.9156
2121.3137,97.9182
2123.2422,97.8963
2125.1707,97.8476
2127.0991,97.769
2129.0276,97.6544
2130.9561,97.4957
2132.8845,97.2888
2134.8130,97.0402
2136.7415,96.768
2138.6699,96.4936
2140.5984,96.229
2142.5269,95.9691
2144.4553,95.6966
2146.3838,95.3917
2148.3123,95.0379
2150.2407,94.6173
2152.1692,94.1066
2154.0977,93.4865
2156.0261,92.7779
2157.9546,92.0852
2159.8831,91.5841
2161.8115,91.4163
2163.7400,91.5825
2165.6685,91.9546
2167.5969,92.37
2169.5254,92.7093
2171.4539,92.9235
2173.3823,93.0287
2175.3108,93.0798
2177.2393,93.1346
2179.1677,93.224
2181.0962,93.3443
2183.0247,93.4719
2184.9531,93.5892
2186.8816,93.6972
2188.8101,93.8094
2190.7385,93.9352
2192.6670,94.069
2194.5955,94.193
2196.5239,94.2897
2198.4524,94.3544
2200.3809,94.3984
2202.3093,94.4411
2204.2378,94.4993
2206.1663,94.5793
2208.0947,94.6777
2210.0232,94.7865
2211.9517,94.8985
2213.8801,95.0078
2215.8086,95.1088
2217.7371,95.1948
2219.6655,95.2605
2221.5940,95.305
2223.5225,95.3335
2225.4509,95.3555
2227.3794,95.3801
2229.3079,95.4119
2231.2363,95.4502
2233.1648,95.4911
2235.0933,95.5316
2237.0217,95.571
2238.9502,95.6115
2240.8787,95.655
2242.8071,95.701
2244.7356,95.746
2246.6641,95.7849
2248.5925,95.8142
2250.5210,95.8339
2252.4495,95.8483
2254.3779,95.8631
2256.3064,95.8836
2258.2349,95.9114
2260.1633,95.9455
2262.0918,95.9833
2264.0203,96.0236
2265.9487,96.0671
2267.8772,96.1171
2269.8057,96.1765
2271.7341,96.2463
2273.6626,96.3233
2275.5911,96.4
2277.5195,96.4663
2279.4480,96.5121
2281.3765,96.5295
2283.3049,96.5137
2285.2334,96.4626
2287.1619,96.3761
2289.0903,96.2561
2291.0188,96.1075
2292.9473,95.937
2294.8757,95.7511
2296.8042,95.5513
2298.7327,95.3311
2300.6611,95.0777
2302.5896,94.7792
2304.5181,94.4333
2306.4465,94.0517
2308.3750,93.6543
2310.3035,93.2559
2312.2319,92.854
2314.1604,92.4291
2316.0889,91.9593
2318.0173,91.4401
2319.9458,90.8955
2321.8743,90.3706
2323.8027,89.9109
2325.7312,89.5432
2327.6597,89.2676
2329.5881,89.0606
2331.5166,88.885
2333.4451,88.7055
2335.3735,88.5151
2337.3020,88.3609
2339.2305,88.3395
2341.1589,88.5284
2343.0874,88.8976
2345.0159,89.3071
2346.9443,89.5895
2348.8728,89.6116
2350.8013,89.2799
2352.7297,88.5356
2354.6582,87.3901
2356.5867,86.0172
2358.5151,84.8178
2360.4436,84.2487
2362.3721,84.4717
2364.3005,85.2946
2366.2290,86.4443
2368.1575,87.744
2370.0859,89.0983
2372.0144,90.4404
2373.9429,91.7175
2375.8713,92.8945
2377.7998,93.9544
2379.7283,94.8902
2381.6567,95.698
2383.5852,96.3731
2385.5137,96.911
2387.4421,97.3106
2389.3706,97.5781
2391.2991,97.7309
2393.2275,97.7959
2395.1560,97.8045
2397.0845,97.7843
2399.0129,97.754
2400.9414,97.7236
2402.8699,97.6976
2404.7983,97.6787
2406.7268,97.668
2408.6553,97.6634
2410.5837,97.66
2412.5122,97.6525
2414.4407,97.6395
2416.3691,97.6254
2418.2976,97.6178
2420.2261,97.6216
2422.1545,97.6338
2424.0830,97.6435
2426.0115,97.6368
2427.9399,97.6049
2429.8684,97.5492
2431.7969,97.4809
2433.7253,97.4158
2435.6538,97.3667
2437.5823,97.3391
2439.5107,97.3305
2441.4392,97.333
2443.3677,97.3376
2445.2961,97.3374
2447.2246,97.3291
2449.1531,97.3134
2451.0815,97.2934
2453.0100,97.2735
2454.9385,97.258
2456.8669,97.2498
2458.7954,97.2511
2460.7239,97.2632
2462.6523,97.286
2464.5808,97.3172
2466.5093,97.3508
2468.4377,97.3777
2470.3662,97.3889
2472.2947,97.3798
2474.2231,97.3535
2476.1516,97.3203
2478.0801,97.2924
2480.0085,97.2775
2481.9370,97.2743
2483.8655,97.2739
2485.7939,97.2663
2487.7224,97.2474
2489.6509,97.2227
2491.5793,97.2046
2493.5078,97.2056
2495.4363,97.231
2497.3647,97.2764
2499.2932,97.3303
2501.2217,97.38
2503.1501,97.4166
2505.0786,97.436
2507.0071,97.4376
2508.9355,97.4216
2510.8640,97.389
2512.7925,97.3437
2514.7209,97.293
2516.6494,97.2456
2518.5779,97.2064
2520.5063,97.173
2522.4348,97.1363
2524.3633,97.0867
2526.2917,97.0225
2528.2202,96.9529
2530.1487,96.8945
2532.0771,96.8622
2534.0056,96.8603
2535.9341,96.8811
2537.8625,96.9082
2539.7910,96.9258
2541.7195,96.9252
2543.6479,96.9076
2545.5764,96.8824
2547.5049,96.8627
2549.4333,96.8599
2551.3618,96.8784
2553.2903,96.9128
2555.2188,96.9491
2557.1472,96.9712
2559.0757,96.9689
2561.0042,96.944
2562.9326,96.9094
2564.8611,96.881
2566.7896,96.8675
2568.7180,96.8654
2570.6465,96.8611
2572.5750,96.8409
2574.5034,96.7999
2576.4319,96.746
2578.3604,96.6962
2580.2888,96.6685
2582.2173,96.6748
2584.1458,96.7166
2586.0742,96.7852
2588.0027,96.8651
2589.9312,96.938
2591.8596,96.9884
2593.7881,97.0087
2595.7166,97.0013
2597.6450,96.9781
2599.5735,96.9544
2601.5020,96.9416
2603.4304,96.9411
2605.3589,96.9448
2607.2874,96.94
2609.2158,96.9178
2611.1443,96.8786
2613.0728,96.8325
2615.0012,96.7943
2616.9297,96.7762
2618.8582,96.7816
2620.7866,96.8046
2622.7151,96.8327
2624.6436,96.8537
2626.5720,96.8606
2628.5005,96.8539
2630.4290,96.8396
2632.3574,96.8251
2634.2859,96.8154
2636.2144,96.8112
2638.1428,96.8097
2640.0713,96.8074
2641.9998,96.8021
2643.9282,96.7942
2645.8567,96.7853
2647.7852,96.7774
2649.7136,96.7717
2651.6421,96.7689
2653.5706,96.7696
2655.4990,96.775
2657.4275,96.7862
2659.3560,96.8038
2661.2844,96.8266
2663.2129,96.8521
2665.1414,96.8762
2667.0698,96.8947
2668.9983,96.904
2670.9268,96.9026
2672.8552,96.892
2674.7837,96.8767
2676.7122,96.8627
2678.6406,96.8547
2680.5691,96.8542
2682.4976,96.8581
2684.4260,96.8608
2686.3545,96.8574
2688.2830,96.847
2690.2114,96.8334
2692.1399,96.8222
2694.0684,96.817
2695.9968,96.8155
2697.9253,96.8099
2699.8538,96.7899
2701.7822,96.7476
2703.7107,96.6814
2705.6392,96.5951
2707.5676,96.4964
2709.4961,96.3916
2711.4246,96.2847
2713.3530,96.1767
2715.2815,96.0692
2717.2100,95.967
2719.1384,95.8795
2721.0669,95.8188
2722.9954,95.7959
2724.9238,95.8156
2726.8523,95.8738
2728.7808,95.9579
2730.7092,96.0501
2732.6377,96.1332
2734.5662,96.1968
2736.4946,96.2395
2738.4231,96.2682
2740.3516,96.2928
2742.2800,96.3208
2744.2085,96.353
2746.1370,96.3837
2748.0654,96.4036
2749.9939,96.4057
2751.9224,96.3882
2753.8508,96.3561
2755.7793,96.3189
2757.7078,96.2868
2759.6362,96.2668
2761.5647,96.2605
2763.4932,96.2634
2765.4216,96.2666
2767.3501,96.2594
2769.2786,96.2335
2771.2070,96.1866
2773.1355,96.1236
2775.0640,96.0535
2776.9924,95.9843
2778.9209,95.9176
2780.8494,95.8475
2782.7778,95.7628
2784.7063,95.6537
2786.6348,95.5178
2788.5632,95.3614
2790.4917,95.197
2792.4202,95.0364
2794.3486,94.8848
2796.2771,94.7374
2798.2056,94.5813
2800.1340,94.4013
2802.0625,94.1876
2803.9910,93.9415
2805.9194,93.6746
2807.8479,93.4014
2809.7764,93.1289
2811.7048,92.851
2813.6333,92.5494
2815.5618,92.2001
2817.4902,91.7765
2819.4187,91.2389
2821.3472,90.5173
2823.2756,89.5021
2825.2041,88.0658
2827.1326,86.1225
2829.0610,83.7059
2830.9895,81.0234
2832.9180,78.4436
2834.8464,76.4047
2836.7749,75.272
2838.7034,75.2084
2840.6318,76.1203
2842.5603,77.7044
2844.4888,79.567
2846.4172,81.3505
2848.3457,82.8074
2850.2742,83.8015
2852.2026,84.2602
2854.1311,84.131
