TITLE SAMPLE NAME:,Polyethylene High Density  (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
1369.2115,102.871
1370.1758,102.802
1371.1400,102.715
1372.1042,102.617
1373.0685,102.528
1374.0327,102.471
1374.9969,102.465
1375.9612,102.505
1376.9254,102.573
1377.8896,102.651
1378.8539,102.729
1379.8181,102.804
1380.7823,102.87
1381.7466,102.913
1382.7108,102.916
1383.6750,102.868
1384.6393,102.78
1385.6035,102.681
1386.5677,102.614
1387.5320,102.604
1388.4962,102.644
1389.4604,102.695
1390.4247,102.714
1391.3889,102.675
1392.3531,102.573
1393.3174,102.424
1394.2816,102.26
1395.2458,102.127
1396.2101,102.063
1397.1743,102.084
1398.1385,102.177
1399.1028,102.305
1400.0670,102.428
1401.0313,102.513
1401.9955,102.549
1402.9597,102.545
1403.9240,102.525
1404.8882,102.513
1405.8524,102.52
1406.8167,102.539
1407.7809,102.552
1408.7451,102.548
1409.7094,102.529
1410.6736,102.505
1411.6378,102.476
1412.6021,102.432
1413.5663,102.352
1414.5305,102.224
1415.4948,102.052
1416.4590,101.871
1417.4232,101.739
1418.3875,101.711
1419.3517,101.791
1420.3159,101.926
1421.2802,102.058
1422.2444,102.162
1423.2086,102.246
1424.1729,102.323
1425.1371,102.398
1426.1013,102.46
1427.0656,102.5
1428.0298,102.515
1428.9940,102.513
1429.9583,102.506
1430.9225,102.496
1431.8867,102.475
1432.8510,102.432
1433.8152,102.369
1434.7794,102.31
1435.7437,102.295
1436.7079,102.356
1437.6721,102.485
1438.6364,102.637
1439.6006,102.767
1440.5648,102.856
1441.5291,102.899
1442.4933,102.899
1443.4575,102.861
1444.4218,102.792
1445.3860,102.705
1446.3502,102.617
1447.3145,102.546
1448.2787,102.496
1449.2429,102.458
1450.2072,102.409
1451.1714,102.328
1452.1356,102.198
1453.0999,102.011
1454.0641,101.768
1455.0283,101.501
1455.9926,101.294
1456.9568,101.275
1457.9210,101.478
1458.8853,101.782
1459.8495,102.052
1460.8137,102.23
1461.7780,102.319
1462.7422,102.348
1463.7064,102.356
1464.6707,102.382
1465.6349,102.438
1466.5991,102.503
1467.5634,102.534
1468.5276,102.502
1469.4918,102.394
1470.4561,102.221
1471.4203,102.033
1472.3845,101.918
1473.3488,101.955
1474.3130,102.144
1475.2772,102.412
1476.2415,102.682
1477.2057,102.908
1478.1699,103.078
1479.1342,103.197
1480.0984,103.278
1481.0626,103.333
1482.0269,103.364
1482.9911,103.363
1483.9553,103.309
1484.9196,103.185
1485.8838,102.987
1486.8480,102.742
1487.8123,102.523
1488.7765,102.428
1489.7407,102.509
1490.7050,102.715
1491.6692,102.939
1492.6334,103.099
1493.5977,103.167
1494.5619,103.15
1495.5261,103.081
1496.4904,103.012
1497.4546,102.99
1498.4188,103.027
1499.3831,103.092
1500.3473,103.14
1501.3115,103.139
1502.2758,103.066
1503.2400,102.892
1504.2042,102.583
1505.1685,102.121
1506.1327,101.596
1507.0969,101.262
1508.0612,101.309
1509.0254,101.63
1509.9896,102.009
1510.9539,102.315
1511.9181,102.502
1512.8823,102.563
1513.8466,102.51
1514.8108,102.377
1515.7750,102.21
1516.7393,102.056
1517.7035,101.938
1518.6677,101.855
1519.6320,101.798
1520.5962,101.765
1521.5604,101.76
1522.5247,101.786
1523.4889,101.844
1524.4531,101.932
1525.4174,102.049
1526.3816,102.185
1527.3458,102.32
1528.3101,102.424
1529.2743,102.472
1530.2385,102.452
1531.2028,102.37
1532.1670,102.252
1533.1312,102.134
1534.0955,102.039
1535.0597,101.959
1536.0239,101.858
1536.9882,101.696
1537.9524,101.441
1538.9166,101.095
1539.8809,100.744
1540.8451,100.562
1541.8093,100.653
1542.7736,100.934
1543.7378,101.272
1544.7020,101.588
1545.6663,101.843
1546.6305,102.019
1547.5947,102.108
1548.5590,102.12
1549.5232,102.079
1550.4874,102.008
1551.4517,101.922
1552.4159,101.817
1553.3801,101.676
1554.3444,101.481
1555.3086,101.226
1556.2728,100.932
1557.2371,100.689
1558.2013,100.66
1559.1655,100.921
1560.1298,101.314
1561.0940,101.647
1562.0582,101.865
1563.0225,101.988
1563.9867,102.041
1564.9509,102.04
1565.9152,101.994
1566.8794,101.919
1567.8436,101.838
1568.8079,101.78
1569.7721,101.757
1570.7363,101.754
1571.7006,101.739
1572.6648,101.69
1573.6290,101.604
1574.5933,101.503
1575.5575,101.433
1576.5217,101.445
1577.4860,101.54
1578.4502,101.672
1579.4144,101.791
1580.3787,101.875
1581.3429,101.928
1582.3071,101.958
1583.2714,101.976
1584.2356,101.987
1585.1998,101.991
1586.1641,101.986
1587.1283,101.972
1588.0925,101.952
1589.0568,101.931
1590.0210,101.909
1590.9852,101.885
1591.9495,101.861
1592.9137,101.841
1593.8779,101.836
1594.8422,101.855
1595.8064,101.9
1596.7706,101.964
1597.7349,102.031
1598.6991,102.089
1599.6633,102.132
1600.6276,102.163
1601.5918,102.191
1602.5560,102.223
1603.5203,102.256
1604.4845,102.286
1605.4487,102.306
1606.4130,102.321
1607.3772,102.345
1608.3414,102.389
1609.3057,102.456
1610.2699,102.527
1611.2341,102.577
1612.1984,102.587
1613.1626,102.554
1614.1268,102.493
1615.0911,102.435
1616.0553,102.418
1617.0195,102.451
1617.9838,102.509
1618.9480,102.551
1619.9122,102.561
1620.8765,102.547
1621.8407,102.531
1622.8049,102.539
1623.7692,102.584
1624.7334,102.656
1625.6976,102.736
1626.6619,102.81
1627.6261,102.873
1628.5903,102.922
1629.5546,102.948
1630.5188,102.937
1631.4830,102.876
1632.4473,102.757
1633.4115,102.586
1634.3757,102.403
1635.3400,102.286
