TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
2776.9924,101.876
2778.9209,101.822
2780.8494,101.764
2782.7778,101.703
2784.7063,101.643
2786.6348,101.585
2788.5632,101.529
2790.4917,101.471
2792.4202,101.408
2794.3486,101.336
2796.2771,101.258
2798.2056,101.175
2800.1340,101.09
2802.0625,101.003
2803.9910,100.913
2805.9194,100.814
2807.8479,100.704
2809.7764,100.581
2811.7048,100.444
2813.6333,100.292
2815.5618,100.126
2817.4902,99.9389
2819.4187,99.7255
2821.3472,99.476
2823.2756,99.1796
2825.2041,98.8263
2827.1326,98.4066
2829.0610,97.906
2830.9895,97.294
2832.9180,96.5153
2834.8464,95.4963
2836.7749,94.1779
2838.7034,92.5676
2840.6318,90.788
2842.5603,89.0867
2844.4888,87.7883
2846.4172,87.1964
2848.3457,87.4827
2850.2742,88.6133
2852.2026,90.3532
2854.1311,92.3505
2856.0596,94.2629
2857.9880,95.8601
2859.9165,97.0558
2861.8450,97.874
2863.7734,98.3873
2865.7019,98.6679
2867.6304,98.7671
2869.5588,98.7176
2871.4873,98.5419
2873.4158,98.2585
2875.3442,97.8848
2877.2727,97.4377
2879.2012,96.9356
2881.1296,96.3993
2883.0581,95.8496
2884.9866,95.3038
2886.9150,94.7718
2888.8435,94.2554
2890.7720,93.7509
2892.7004,93.2536
2894.6289,92.7595
2896.5574,92.2617
2898.4858,91.7427
2900.4143,91.1679
2902.3428,90.4887
2904.2712,89.662
2906.1997,88.6817
2908.1282,87.6089
2910.0566,86.5815
2911.9851,85.7906
2913.9136,85.4268
2915.8420,85.6176
2917.7705,86.3822
2919.6990,87.624
2921.6274,89.1653
2923.5559,90.8077
2925.4844,92.3896
2927.4128,93.8177
2929.3413,95.0644
2931.2698,96.1436
2933.1982,97.0833
2935.1267,97.9087
2937.0552,98.6365
2938.9836,99.2753
2940.9121,99.8284
2942.8406,100.296
2944.7690,100.68
2946.6975,100.983
2948.6260,101.217
2950.5544,101.395
2952.4829,101.532
2954.4114,101.642
2956.3398,101.731
2958.2683,101.801
2960.1968,101.852
2962.1252,101.887
2964.0537,101.912
2965.9822,101.935
2967.9106,101.967
2969.8391,102.012
2971.7676,102.071
2973.6960,102.138
2975.6245,102.205
2977.5530,102.268
2979.4814,102.325
2981.4099,102.378
2983.3384,102.434
2985.2668,102.492
2987.1953,102.554
2989.1238,102.614
2991.0522,102.668
2992.9807,102.713
