TITLE SAMPLE NAME:,Polystyrene (medicine-toys-disposable dishes)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
2861.8450,97.6778
2863.7734,96.8437
2865.7019,96.1949
2867.6304,95.754
2869.5588,95.4939
2871.4873,95.3731
2873.4158,95.3616
2875.3442,95.4456
2877.2727,95.6127
2879.2012,95.8377
2881.1296,96.0813
2883.0581,96.3028
2884.9866,96.4731
2886.9150,96.5763
2888.8435,96.5994
2890.7720,96.5208
2892.7004,96.312
2894.6289,95.9539
2896.5574,95.4561
2898.4858,94.8631
2900.4143,94.2375
2902.3428,93.6316
2904.2712,93.065
2906.1997,92.5255
2908.1282,91.993
2910.0566,91.4695
2911.9851,90.9957
2913.9136,90.6423
2915.8420,90.4832
2917.7705,90.5641
2919.6990,90.8864
2921.6274,91.412
2923.5559,92.0864
2925.4844,92.8629
2927.4128,93.7115
2929.3413,94.6043
2931.2698,95.4888
2933.1982,96.2698
2935.1267,96.8174
2937.0552,97.0057
2938.9836,96.7648
2940.9121,96.1195
2942.8406,95.1935
2944.7690,94.1738
2946.6975,93.2506
2948.6260,92.5626
2950.5544,92.1715
2952.4829,92.0729
2954.4114,92.2303
2956.3398,92.6076
2958.2683,93.1822
2960.1968,93.9375
2962.1252,94.846
2964.0537,95.8615
2965.9822,96.9253
2967.9106,97.9798
2969.8391,98.9785
2971.7676,99.8869
2973.6960,100.678
2975.6245,101.332
2977.5530,101.84
2979.4814,102.209
2981.4099,102.468
2983.3384,102.655
2985.2668,102.809
2987.1953,102.949
2989.1238,103.08
2991.0522,103.191
2992.9807,103.274
2994.9092,103.327
2996.8376,103.361
2998.7661,103.393
3000.6946,103.436
3002.6230,103.492
3004.5515,103.554
3006.4800,103.606
3008.4084,103.639
3010.3369,103.652
3012.2654,103.656
3014.1938,103.668
3016.1223,103.699
3018.0508,103.752
3019.9792,103.813
3021.9077,103.868
3023.8362,103.901
3025.7646,103.91
3027.6931,103.904
3029.6216,103.9
3031.5500,103.911
3033.4785,103.942
3035.4070,103.984
3037.3354,104.024
3039.2639,104.049
3041.1924,104.056
3043.1208,104.051
3045.0493,104.046
3046.9778,104.05
3048.9063,104.063
